risk_id,title,summary,themes,keywords,locations,severity,time_horizon
GTM-2026-01,Gang-Triggered State of Siege and Post-Emergency Security Fragility,"In January 2026, President Arévalo declared a 30-day state of siege after Barrio 18 prison riots and coordinated street attacks killed 11 police officers ([InSight Crime](https://insightcrime.org/news/how-guatemalas-gang-crisis-reached-boiling-point/)). The siege—ratified by Congress—authorized warrantless arrests and restricted civil liberties, resulting in roughly 3,300 detentions, a major drug haul, and reported short-term reductions in homicides and extortion ([States of Exception / ISSE](https://www.statesofexception.org/content/guatemalas-2026-state-of-siege-restoration-of-order-or-recalibration-of-the-norm)). The siege expired on February 16, transitioning to a nationwide state of prevention, with joint military-police operations continuing under the Metropolitan Sentinel Plan ([JURIST](https://www.jurist.org/news/2026/02/guatemala-president-ends-siege-order-but-keeps-military-police-crackdown/)). Analysts warn that arrests are unlikely to produce long-term security gains without structural reform of a justice system controlled by Arévalo's opponents ([Americas Quarterly](https://www.americasquarterly.org/article/guatemalas-state-of-emergency-will-test-its-democracy/)).","['security', 'governance', 'crime']","['Barrio 18', 'state of siege', 'gang violence', 'prison riots', 'emergency powers', 'extortion', 'metropolitan sentinel plan']","['Guatemala City', 'Zone 18', 'Las Alamedas', 'nationwide']",high,current
GTM-2026-02,Political-Criminal Nexus Exploiting Gang Violence to Destabilize Arévalo Government,"Former anti-corruption prosecutor Juan Francisco Sandoval has argued that the January 2026 gang offensive ""reflects deliberate operations driven by political-criminal networks"" seeking to destabilize the government ahead of crucial 2026 judicial appointments ([Tico Times](https://ticotimes.net/2026/01/22/guatemala-gang-violence-surge-exposes-security-weaknesses/)). President Arévalo himself framed the violence as linked to ""political-criminal mafias"" who fear losing control of the judicial selection process ([Americas Quarterly](https://www.americasquarterly.org/article/guatemalas-state-of-emergency-will-test-its-democracy/)). The IACHR has concluded that some state institutions are ""under the control of external actors—political and economic—that defend vested interests and seek to perpetuate privilege and ensure impunity"" ([IACHR](https://www.oas.org/en/iachr/jsForm/?File=/en/iachr/media_center/preleases/2025/245.asp)). This entanglement between organized crime and political elites poses a systemic risk to both the government's reform agenda and democratic stability.","['political', 'crime', 'governance']","['political-criminal networks', 'impunity', 'state capture', 'judicial appointments', 'organized crime', 'Arévalo', 'reform agenda']","['nationwide', 'Guatemala City']",high,current
GTM-2026-03,High-Stakes 2026 Judicial Appointments at Risk of Capture by Corrupt Actors,"Between February and August 2026, Guatemala will select a new Attorney General, Constitutional Court, Supreme Electoral Tribunal, and Comptroller General—a concentration of institutional renewals analysts describe as a ""planetary alignment"" ([Atlantic Council](https://www.atlanticcouncil.org/dispatches/what-to-watch-in-guatemalas-year-of-institutional-reset/)). The UN Special Rapporteur on the Independence of Judges and Lawyers has explicitly warned that these appointment processes are ""vulnerable to interference by corrupt actors"" and called for protection of candidates and Nominating Commission members ([OHCHR](https://www.ohchr.org/en/press-releases/2026/01/un-expert-urges-guatemala-end-criminalisation-and-ensure-2026-judicial)). The incoming TSE magistrates, already taking office in March 2026, will be responsible for overseeing the 2027 general elections, with the IDEA noting that ""recovery in the aftermath of the 2023 crisis is mostly incomplete"" ([International IDEA](https://www.idea.int/publications/catalogue/html/preserving-elections-guatemala)). The ISHR documents that criminalization creates a deterrent effect discouraging qualified candidates from standing, further weakening the pool ([ISHR](https://ishr.ch/latest-updates/guatemala-2026-is-key-for-strengthening-the-judicial-system-protecting-defenders/)).","['governance', 'political']","['attorney general', 'constitutional court', 'TSE', 'judicial capture', 'nominating commissions', '2027 elections', 'rule of law']","['nationwide', 'Guatemala City']",high,0-3m
GTM-2026-04,"Systematic Criminalization of Journalists, Human Rights Defenders, and Indigenous Leaders","The Attorney General's Office under Consuelo Porras has pursued politically motivated prosecutions targeting Arévalo administration officials, journalists, Indigenous leaders, and human rights defenders, with the UN Working Group on Arbitrary Detention concluding that journalist José Rubén Zamora has been ""arbitrarily detained for exercising his right to freedom of expression"" ([Human Rights Watch](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). UDEFEGUA documented 4,520 attacks against human rights defenders between January and September 2025 alone, while at least 28 defenders were murdered in 2024—the highest figure since 2017—and Global Witness recorded 20 land and environmental defenders killed that year compared to 4 in 2023 ([ISHR](https://ishr.ch/latest-updates/guatemala-2026-is-key-for-strengthening-the-judicial-system-protecting-defenders/); [HRW](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). The OHCHR office in Guatemala documented 206 attacks on justice operators between 2020–2025, including 66 cases of criminalization ([ISHR](https://ishr.ch/latest-updates/guatemala-2026-is-key-for-strengthening-the-judicial-system-protecting-defenders/)). The government adopted a public policy to protect defenders in November 2025, though an implementation body has yet to be created.","['governance', 'social', 'political']","['criminalization', 'human rights defenders', 'journalists', 'Indigenous leaders', 'UDEFEGUA', 'press freedom', 'impunity', 'selective persecution']",['nationwide'],high,current
GTM-2026-05,Surging Gang-Driven Extortion and Transnational Organized Crime,"Extortion complaints registered by the Attorney General's Office reached 25,151 in 2024—a 39% increase from 2023—with gangs MS-13 and Barrio 18 orchestrating large-scale operations primarily from within prisons using telecommunications ([Human Rights Watch](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). Guatemala's homicide rate rose 21% in the first half of 2025 compared to the same period in 2024, reaching 17.65 per 100,000 ([HRW](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). Mexico-based cartels have increased their presence in border regions, with over 21 documented ""blind spots"" along the Guatemala–Mexico border enabling drug trafficking, arms smuggling, and human trafficking ([Organized Crime Index](https://ocindex.net/country/guatemala)). Prison-based command structures remain a core structural challenge, as demonstrated by the January 2026 crisis, with the government acknowledging ""zero control"" over the prison system prior to the emergency measures ([Tico Times](https://ticotimes.net/2026/01/22/guatemala-gang-violence-surge-exposes-security-weaknesses/)).","['crime', 'security']","['MS-13', 'Barrio 18', 'extortion', 'drug trafficking', 'homicide', 'prison control', 'transnational crime', 'border security']","['Guatemala City', 'Guatemala-Mexico border', 'nationwide']",high,current
GTM-2026-06,Mass Deportation Surge Overwhelming Returnee Reintegration Capacity,"Guatemala agreed in February 2025 to increase US deportation flights by 40% and to accept third-country nationals deported by the US, with the first such flight carrying non-Guatemalan nationals arriving in October 2025 ([Al Jazeera](https://www.aljazeera.com/news/2025/10/11/first-us-flight-with-third-country-deportees-arrives-in-guatemala)). Nearly 66,000 Guatemalans were deported from the US in fiscal year 2024—the highest figure in recent years—and the pace is expected to accelerate under the Trump administration ([Al Jazeera](https://www.aljazeera.com/news/2025/2/5/guatemala-agrees-to-increase-number-of-us-deportation-flights-it-accepts)). Returnees frequently arrive in vulnerable conditions, are targeted for extortion upon arrival, and reintegration programs have been largely ineffective at improving long-term outcomes ([Migration Policy Institute](https://www.migrationpolicy.org/news/reintegration-forgotten-side-deportation)). The economy's heavy reliance on remittances makes abrupt deportation surges a significant macroeconomic and social shock risk ([Refugees International](https://www.refugeesinternational.org/guatemala/)).","['displacement', 'humanitarian', 'economy']","['deportation', 'returnees', 'reintegration', 'remittances', 'Trump', 'third-country nationals', 'mixed migration', 'vulnerable populations']","['Guatemala City', 'nationwide']",high,current
GTM-2026-07,Internal Displacement and Mixed Migration Amid Collapsing Humanitarian Funding,"Violence linked to organized crime and drug trafficking, combined with extreme poverty and climate-related disasters, has driven the displacement of an estimated 1.2 million people within Guatemala, with IDMC citing approximately 242,000 internally displaced persons ([IOM Crisis Response Plan 2025](https://crisisresponse.iom.int/response/guatemala-crisis-response-plan-2025); [NRC](https://www.nrc.no/perspectives/2026/nrc-closes-its-operations-in-guatemala)). The 2025 Humanitarian Response Plan required USD 100.6 million but received less than 20% of the amount needed by year's end, with NRC announcing closure of its Guatemala operations due to funding cuts ([NRC](https://www.nrc.no/perspectives/2026/nrc-closes-its-operations-in-guatemala)). The termination of USAID has disrupted protection and psychosocial services in high-risk regions, leaving thousands of women, girls, and other vulnerable populations without essential services, with the EU now the sole donor funding protection programs in areas like Huehuetenango ([IRC](https://www.rescue.org/eu/article/amid-us-aid-cuts-irc-delivers-critical-protection-services-guatemala)). UNHCR operates five Migrant and Refugee Assistance Centres at key border points given Guatemala's role as origin, transit, destination, and return country for mixed movements ([UNHCR](https://www.unhcr.org/where-we-work/countries/guatemala)).","['displacement', 'humanitarian']","['internal displacement', 'mixed migration', 'humanitarian funding gap', 'USAID cuts', 'NRC closure', 'protection services', 'Huehuetenango']","['Huehuetenango', 'Alta Verapaz', 'Tecún Umán', 'Esquipulas', 'nationwide']",high,current
GTM-2026-08,Food Insecurity and Chronic Malnutrition Amid Climate-Induced Agricultural Shocks,"An estimated 2.2 million Guatemalans require humanitarian assistance in 2025, with food insecurity the most pressing issue, exacerbated by El Niño-induced droughts that devastated maize and bean crops across 54,000 hectares in 160 municipalities and impacted 9.2 million people ([OCHA](https://www.unocha.org/publications/report/guatemala/guatemala-humanitarian-needs-and-response-plan-2025-summary)). By October 2024, acute malnutrition in children under five reached 25,000 cases—21% classified as severe—with 50 associated deaths, particularly concentrated in Alta Verapaz, Huehuetenango, and San Marcos ([IOM Crisis Response Plan](https://crisisresponse.iom.int/response/guatemala-crisis-response-plan-2025)). Guatemala has the highest rate of chronic malnutrition in Latin America, with nearly 47% of children under five chronically malnourished, rising to 58% among Indigenous children ([Human Rights Watch](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). Prolonged drought across Guatemala, Honduras, and El Salvador is identified as aggravating food insecurity further in 2026 ([EU ECHO 2026](https://ec.europa.eu/echo/files/funding/hip2026/echo_-am_bud_2026_91000_v1.pdf)).","['humanitarian', 'environment', 'health']","['food insecurity', 'malnutrition', 'drought', 'El Niño', 'children', 'Indigenous communities', 'climate shock', 'Alta Verapaz']","['Alta Verapaz', 'Huehuetenango', 'San Marcos', 'nationwide', '160 municipalities']",high,current
GTM-2026-09,Structural Impunity and Judicial Capture Undermining Anti-Corruption Reforms,"Over 93% of criminal cases in Guatemala go unaddressed, including those involving organized crime, while the Attorney General's Office has aggressively pursued anti-corruption judges, political opponents, and reformers ([Atlantic Council](https://www.atlanticcouncil.org/dispatches/what-to-watch-in-guatemalas-year-of-institutional-reset/)). At least 45 prosecutors and judges—many former CICIG collaborators—have fled Guatemala since 2018, with others imprisoned, severely depleting institutional anti-corruption capacity ([Congressional Research Service](https://www.congress.gov/crs-product/IF12340)). The IACHR found that the Attorney General's Office ""has been coopted and dismantled so it operates as an instrument for selective persecution,"" with the US, EU, and UK all imposing sanctions against Attorney General Porras for corruption ([IACHR](https://www.oas.org/en/iachr/jsForm/?File=/en/iachr/media_center/preleases/2025/245.asp); [HRW](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). This environment undermines development investments, contract enforcement, and private-sector confidence critical to World Bank program implementation.","['governance', 'political', 'crime']","['judicial capture', 'impunity', 'attorney general', 'Consuelo Porras', 'CICIG', 'anti-corruption', 'sanctions', 'state capture']","['nationwide', 'Guatemala City']",high,current
GTM-2026-10,USAID Dismantlement Disrupting Development Programming and Civil Society Capacity,"The Trump administration's termination of USAID has significantly disrupted development and governance programs in Guatemala; while some programs received waivers, the State Department's own capacity to administer remaining funds is compromised by massive staff cuts ([WOLA](https://www.wola.org/analysis/2026-will-be-a-key-year-for-guatemala-the-united-states-and-the-international-community-should-support-the-restoration-of-justice/)). USAID had historically been Guatemala's largest donor for protection and health interventions; its abrupt cessation has left thousands without access to essential services, broken supply chains for climate-smart agriculture, and caused local civil society organizations to lose vital funding ([IRC](https://www.rescue.org/eu/article/amid-us-aid-cuts-irc-delivers-critical-protection-services-guatemala)). Democracy, justice, and human rights programming—central to rule-of-law support—are ""no longer central issues in cooperation and assistance to Guatemala"" under the current US–Guatemala bilateral framework ([WOLA](https://www.wola.org/analysis/2026-will-be-a-key-year-for-guatemala-the-united-states-and-the-international-community-should-support-the-restoration-of-justice/)). This creates a direct risk gap for World Bank-supported governance, social, and environmental programs that relied on complementary USAID financing.","['governance', 'humanitarian', 'economy']","['USAID cuts', 'foreign aid', 'civil society', 'development programming', 'governance support', 'bilateral relations', 'funding gap']","['nationwide', 'Huehuetenango']",high,current
GTM-2026-11,Indigenous Land Rights Violations and Extractive Industry Conflicts,"The IACHR found that ""lack of legal certainty and coordinated actions of private firms, the judiciary, and the public prosecutor's office have led to a misappropriation of the ancestral lands of Indigenous communities and to forced evictions"" ([IACHR](https://www.oas.org/en/iachr/jsForm/?File=/en/iachr/media_center/preleases/2025/245.asp)). The Inter-American Court of Human Rights ruled in December 2024 that Guatemala violated rights of the Indigenous Maya Q'eqchi' people in El Estor municipality by failing to title their lands and conduct adequate prior consultation regarding mining ([Human Rights Watch](https://www.hrw.org/world-report/2025/country-chapters/guatemala)). Indigenous leaders defending land and environment face criminalization, harassment, and threats; Global Witness documented a sharp increase in murders of land and environmental defenders from 4 in 2023 to 20 in 2024 ([HRW](https://www.hrw.org/world-report/2026/country-chapters/guatemala)). The poverty rate among Indigenous people stands at 75%, compared to 56% nationally, reflecting decades of structural discrimination ([HRW](https://www.hrw.org/world-report/2026/country-chapters/guatemala)).","['social', 'governance', 'environment']","['Indigenous rights', 'land rights', 'extractive industries', 'forced eviction', ""Maya Q'eqchi'"", 'environmental defenders', 'free prior informed consent']","['El Estor', 'Izabal', 'Petén', 'nationwide']",high,current
GTM-2026-12,**CONTEXT** — Movimiento Semilla Dismantlement and Legislative Isolation of Arévalo Government,"**[Context — up to 6 months back]** The Constitutional Court confirmed the suspension and judicial annulment of President Arévalo's party, Movimiento Semilla, ordering its deputies to act as independents and dismantling the party within Congress, severely constraining the executive's legislative agenda ([WOLA](https://www.wola.org/analysis/2026-will-be-a-key-year-for-guatemala-the-united-states-and-the-international-community-should-support-the-restoration-of-justice/)). This judicial fragmentation leaves Arévalo squeezed between a public demanding decisive action on crime and a legislature and justice system dominated by opponents, reducing the government's policy levers and increasing vulnerability to political disruption ([Americas Quarterly](https://www.americasquarterly.org/article/guatemalas-state-of-emergency-will-test-its-democracy/)). Elements of the private sector have financed efforts to influence judicial and congressional appointments, largely because the current system shields them from competition and accountability ([Atlantic Council](https://www.atlanticcouncil.org/dispatches/what-to-watch-in-guatemalas-year-of-institutional-reset/)). This context directly conditions the reform capacity for World Bank governance and anti-corruption engagement through at least the 2027 electoral cycle.","['political', 'governance']","['Movimiento Semilla', 'Arévalo', 'legislative isolation', 'party annulment', 'political opposition', 'elite capture', 'reform constraints']","['Guatemala City', 'nationwide']",high,3-12m
