risk_title,risk_summary,severity,direction,evidence_quote,realized_risk_id,PROJ_ID_IB,doc_type,doc_date,citation_pdf_url
Non-adoption du Code du Numérique retardant des activités clés des deux projets,"Le cadre légal (Code du Numérique) n’est pas adopté, ce qui bloque/retarde des activités réglementaires et opérationnelles dépendantes, affectant directement la mise en œuvre des projets DFN et EARDIP.",high,persistent,La mission a noté que le Code du Numérique n’est toujours pas adopté. Cette situation entraîne le retard de plusieurs activités qui en dépendent.,1332723e,P174461,Aide Memoire,2025-10-06T15:05:03.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P180931-45b60938-4fe9-446e-a0cf-eea322008bd6.pdf
Fragilité du cadre de gouvernance/régulation du secteur télécoms faute d’adoption du Livre Deuxième du Code du Numérique,"L’autorité de régulation (ARMD) ne dispose pas encore de son principal outil légal pour réguler le secteur, ce qui affecte sa capacité effective de régulation et retarde le lancement d’activités dépendantes du cadre réglementaire.",medium,persistent,"Toutefois, le livre deuxième du code du numérique portant le secteur des télécommunications, qui constitue son principal outil de travail pour réguler le secteur, n’a pas encore été adopté.",53509431,P174461,Aide Memoire,2025-10-06T15:05:03.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P180931-45b60938-4fe9-446e-a0cf-eea322008bd6.pdf
Project not reaching refugees for TVET enrollment (actual refugee enrollment at zero),"Despite the PDO focus on refugees, reported refugee enrollment in selected TVET areas is currently zero, indicating the refugee beneficiary stream is not being implemented as intended.",high,persistent,Increased enrollment in selected TVET areas - Refugees (Number) 220.00 0 0 800.00,d2ad8bed,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-2c05b219-59b8-49cc-8a19-349541b6e122.pdf
No refugee participation in apprenticeships/internships/OJT/WBL supported by the project,"Work-based learning activities show zero refugee participation, undermining delivery of key employability interventions to the refugee target group.",high,persistent,"Number and share of students engaged in Apprenticeships, Internships, OJT and WBL - Refugees (Number) 0.00 0.00 0.00 180.00",22b5f072,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-2c05b219-59b8-49cc-8a19-349541b6e122.pdf
Inability to report refugee completion and employment outcome indicators (refugee data not available),"Refugee-disaggregated outcome data for completion and employment is not available, constraining the project’s ability to track (and potentially manage) results for this FCV-affected group.",medium,persistent,This data is currently not available but will be gathered before the next ISR.,ba4df9ac,P175483,Implementation Status and Results Report,2025-09-04T21:37:09.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-2c05b219-59b8-49cc-8a19-349541b6e122.pdf
Fragmented aid coordination undermining coherent engagement with development partners,"Project implementation is occurring in a context of weak/fragmented aid coordination across government and development partners, which can hinder alignment, sequencing, and follow-through on reform deliverables supported by external actors.",medium,persistent,"Rebooting aid coordination mechanisms: To address longstanding fragmentation in aid coordination, a consultant was hired in February 2025 to review and redesign Djibouti’s framework for development cooperation. The assessment, grounded in the principles of the Paris Declaration and the Accra Agenda, involved interviews with government ministries and development partners.",5bb9f941,P171777,Implementation Status and Results Report,2025-08-07T17:45:23.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P171777-b56b6fcd-a466-43a8-b1f0-6e1644995456.pdf
"Retard de décisions gouvernementales: Code du Numérique non adopté, bloquant des activités clés","L’absence d’adoption du Code du Numérique (et/ou de son Livre Deuxième) retarde déjà plusieurs activités dépendantes dans les deux projets, reflétant une contrainte de gouvernance et de prise de décision réglementaire affectant directement l’exécution.",high,persistent,La mission a noté que le Code du Numérique n’est toujours pas adopté. Cette situation entraîne le retard de plusieurs activités qui en dépendent.,0911a6f9,P174461,Aide Memoire,2025-06-26T17:30:03.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P174461-9e33bd55-6107-428e-bde8-2dc02b8b55cf.pdf
Fragilité du cadre de régulation: ARMD sans son principal outil de travail faute d’adoption du Livre Deuxième,"Le régulateur (ARMD) ne dispose pas encore de l’outil légal central pour réguler le secteur, ce qui affecte concrètement la mise en œuvre d’activités de régulation prévues (DFN et EARDIP) et la capacité institutionnelle à exécuter le mandat.",medium,persistent,"Toutefois, le livre deuxième du code du numérique portant le secteur des télécommunications, qui constitue son principal outil de travail pour réguler le secteur, n’a pas encore été adopté.",8d59487f,P174461,Aide Memoire,2025-06-26T17:30:03.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P174461-9e33bd55-6107-428e-bde8-2dc02b8b55cf.pdf
Delayed government finalization of PFM reform decree/order is delaying project start,"The project has not become effective because required government legal instruments were adopted but not formally signed and published, delaying commencement of activities.",high,persistent,"However, the decree and order have not been signed and published in the Official Gazette “Journal Officiel, delaying the project's start.",5bec1c76,P180696,Implementation Status and Results Report,2025-06-25T17:25:15.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P180696-78d5caca-0d39-443d-8d7b-742a76e39ce8.pdf
Delayed operationalization of PFM reform governance structures is disrupting donor-funded coordination and implementation,"Slow activation of PFM reform governance bodies is affecting implementation arrangements and coordination across multiple donor-funded projects in Djibouti, including this project.",medium,persistent,delays in operationalizing the PFM Reform Strategy governance structures are affecting all related projects funded by donors in Djibouti.,252ce1a4,P180696,Implementation Status and Results Report,2025-06-25T17:25:15.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P180696-78d5caca-0d39-443d-8d7b-742a76e39ce8.pdf
Land regularization progress blocked due to government data-migration prioritization,"Implementation of land regularization activities is being impeded by an administrative/governance bottleneck, with case files blocked at the Land Directorate due to its prioritization of an internal data migration effort, slowing delivery of land certificates.",medium,persistent,"Progress has been slow and the files have been blocked by the Land Directorat since October, 2023 due to the priority it has given to the migration of INFOCAD data to the ArcGIS software.",4e65852f,P162901,Implementation Status and Results Report,2025-06-23T13:41:13.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P162901-f51715a7-1b64-40ce-947e-fc7a050c0442.pdf
Comité de pilotage du projet non opérationnel (faiblesse de gouvernance/coordination),"L’absence d’un comité de pilotage actif limite la gouvernance et la coordination inter-institutionnelle, ce qui peut affecter la prise de décision et l’arbitrage des priorités pendant la mise en œuvre.",medium,persistent,"« Le comité de pilotage du projet Skills n'est pas encore actif, la mission est en discussion avec les institutions concernées sur une alternative définitive pour la mise en place d’un comité de pilotage du projet. »",d9e60b61,P175483,Aide Memoire,2025-02-14T11:25:05.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-bf36eefa-f59a-4e26-8a60-49796ee17c53.pdf
Mesures de prévention/réponse VBG non opérationnalisées (risque de violence),"Le plan d’action VBG convenu n’a pas été transmis malgré une formation, ce qui retarde l’opérationnalisation des mesures de prévention et de réponse aux risques de violence liée au genre dans les activités du projet.",medium,persistent,"« Malgré la formation ESAHS en juin 2024, le plan d’action VBG convenu n’a pas été transmis. »",3063f843,P175483,Aide Memoire,2025-02-14T11:25:05.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-bf36eefa-f59a-4e26-8a60-49796ee17c53.pdf
Delay in establishing high-level project steering committee (governance/coordination fragility),The project has already experienced implementation delays due to difficulties setting up a high-level steering committee needed for effective governance and coordination across stakeholders.,medium,persistent,"« En raison des complexités liées à la formation d'un comité de haut niveau, le projet a connu un retard dans la mise en place d’un comité de pilotage du projet. »",b26034ef,P175483,Aide Memoire,2024-07-17T12:25:02.000Z,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P175483-22796ae4-2f59-4fa6-af78-41747fb3e346.pdf
